6.770|212.9308639129195|-01.5734669792848|0.21971744336782895|-6.693|-4.767|HD 48922|
5.435|214.2737858876501|+00.1474889335385|0.1769160002830656|16.373|-13.167|HD 50747|
5.731|213.7503065619152|-01.2954814669276|0.04001568614897039|-37.120|-35.061|HD 49434|
6.21|214.8670571543804|-00.0752054213591|1.591343093570974|-1.102|-1.491|HD 50820|
5.750|214.7078526205353|-01.5171275867653|0.39786743057213336|-4.854|-2.263|NGC 2286 1571                      HD 49643|
6.64|215.0989148786058|-01.0399781543794|0.23405500292568754|1.299|1.425|HD 50134|
6.830|214.9172497479839|-00.8973693872831|1.0673497705197994|-1.541|-1.442|HD 50170|
6.86|216.6489111791912|-02.1030663314479|0.23225566703827574|-7.776|-3.444|V* V741 Mon|
6.57|217.6368236890958|-02.1652230378824|0.008744721467504178|-543.690|-3.515|HD 50281|
6.282|217.7729735046365|-02.2122699069315|0.15829547433238883|-20.250|-13.654|HD 50282|
6.017|215.8309406194768|-00.4903241028588|0.2723459883435917|-5.225|-1.372|HD 50890|
6.46|218.45013602|-02.06554754|0.1636661211129296|-10.70|5.16|HD 50700|
6.89|219.4966576346103|-04.2076707229963|0.4641448131817127|-4.287|2.335|HD 49481|
6.29|220.0158487191855|-03.8188229385935|0.10165597584654014|-9.682|2.626|V* V592 Mon|
6.67|219.1517633045930|-03.1441503310724|0.35103731526661286|-3.678|4.178|HD 50138|
5.646|221.4154301929350|-05.6426710351269|0.16949439821013917|-12.135|0.619|HD 49147|
5.062|220.5280604734953|-04.9313137010107|0.9074410163339383|-4.843|1.222|HD 49331|
4.08|223.9821129067694|-04.8560833561017|0.08286651861182008|-136.654|-14.322|* tet CMa|
5.298|225.5744380286890|-07.8686279803764|0.12489540010241422|-11.855|-17.816|HD 49048|
6.68|225.3877316405165|-07.6270821166597|0.1405283867341203|-13.527|20.737|HD 49148|
5.272|225.3316810738913|-07.5185031870934|0.2754972725770015|-2.462|8.996|* 11 CMa|
6.919|227.7070647272471|-08.9761188750347|0.5028410519434807|-7.066|0.447|HD 48999|
6.90|228.6495306491196|-09.5586926899376|0.1623455687777002|-1.158|-21.815|HD 48923|
5.771|228.1160990951841|-07.9292871446624|0.7487271638215035|-9.649|-2.450|HD 49980|
4.385|228.7030041044491|-06.6777386989333|1.0578652279699565|-3.547|3.190|* iot CMa|
6.615|228.2953624638500|-08.0384718861242|0.11349835994869874|-2.450|-23.133|HD 49955|
5.648|230.1949625713126|-08.1528532421853|0.09058627436770782|-53.127|-6.118|HD 50644|
6.123|230.1095667404042|-08.0983909052502|0.12235109871286645|-9.394|36.045|HD 50643|
6.74|230.2543866988800|-09.9813414640216|0.16447368421052633|8.809|-2.422|HD 49183|
4.5|230.9800|-10.4316|0.7352941176470588|-4.339|-1.381|M 41                               NGC 2287                           M 41|
6.08|231.3595225906108|-10.3418751958483|0.2166612501354133|-14.568|5.778|NGC 2287 109                       * 12 CMa|
4.664|231.4381473161980|-08.1471096304768|0.029785751092392423|51.109|39.971|* pi. CMa|
5.792|231.6220580783033|-08.3864653991715|0.18464833724172314|-0.242|-10.241|* 17 CMa|
4.83|231.3028828650|-08.6235113255|0.3731343283582089|-5.46|3.58|* 15 CMa|
6.033|233.4569087081434|-11.7178669754015|0.14474922197293189|-21.025|23.650|HD 49001|
6.765|233.1603690894401|-08.9919904716800|0.7607455306200076|-3.478|3.694|HD 51200|
5.30|234.0094120857064|-09.3348088818048|0.6584578916178311|-3.741|3.973|HD 51283|
6.520|235.3681592431348|-10.5805452347795|0.08714293183679872|-22.243|-24.331|HD 50711|
6.220|235.2887540391802|-10.4041956818927|0.14707396349624227|-4.552|2.053|HD 50853|
3.87|234.9833604730202|-10.2100988120759|0.777061154712876|-3.771|4.066|* omi01 CMa|
6.91|234.7567724008183|-10.0832262647064|1.5372790161414298|-4.322|3.098|HD 50896|
6.314|236.1120762124050|-11.6058332707738|0.46416635722242855|-4.067|5.836|HD 50093|
7.00|236.6243387980648|-11.3247666140331|0.47869794159885115|-0.708|2.492|HD 50538|
6.44|237.4340684684416|-11.6122678686916|0.2369892880841786|-10.915|-65.652|V* KX CMa|
6.92|239.2505669792|-14.0284271089|0.24038461538461536|4.76|-2.06|HD 49258|
6.99|238.9676262081254|-13.1934300728922|0.12293016337418712|-29.676|-3.668|HD 49872|
6.04|238.9572206602378|-12.1572944680961|0.0257743251637314|282.212|-441.741|HD 50806|
6.81|239.6530360199688|-13.5899801678629|0.7270612185546024|-5.161|4.125|HD 49793|
6.53|240.1137821508002|-14.6786897911870|0.3060818462856968|-7.497|3.560|HD 49028|
5.68|240.5001504691441|-14.7266883325104|0.6060606060606061|-3.284|4.630|HD 49131|
5.916|241.2930317327696|-15.0834229539226|0.023932720336589778|-217.138|-317.283|HD 49095|
6.85|242.0785554676844|-13.3402364889157|0.30327843993570497|-14.449|1.797|HD 51014|
6.34|242.2075480034813|-13.0291727283692|0.33191715347849177|-9.061|6.695|HD 51411|
6.86|242.3605991354125|-14.5679899024609|0.20736992721315553|-3.457|-6.431|HD 49961|
3.89|242.3552090829|-14.4944635099|0.20202020202020202|-8.84|3.73|* kap CMa|
5.747|241.6421920522373|-14.0703129604593|0.19447307520273818|-2.874|15.309|V* HZ CMa|
6.99|244.0783811634950|-13.9014530161401|0.14997000599880023|2.982|13.207|HD 51367|
6.901|244.5877203662040|-15.6322332944841|0.21486892995272883|-11.585|9.525|HD 49833|
4.989|244.2114070632456|-15.0233962933647|0.27495188342040144|3.452|1.129|HD 50235|
